Batch 1,Batch 2
1.001000047,1
1.004999995,1.004999995
1.014999986,1.014999986
1.019999981,1.004999995
1.00999999,0.99000001
1.014999986,1.004999995
1,1.014999986
1.00999999,1
0.999000013,1.004999995
1.00999999,0.99000001
0.995999992,0.996999979
1,1
1.003999949,1.001999974
0.995000005,1.001000047
1.006000042,1.006000042
0.985000014,1.004999995
1.00999999,1.00999999
1,1.014999986
0.995000005,1
1,1
1,1.014999986
0.999000013,0.995000005
1.014000058,1.004999995
1.008999944,1.00999999
1.004999995,1.00999999
1.024999976,1.006000042
1.003999949,0.999000013
1.003999949,1.006000042
0.999000013,1.004999995
1,1.001000047
1.014000058,1.006999969
1.008999944,0.995000005
0.994000018,1.006999969
1.008999944,0.999000013
0.999000013,1.00999999
1.003999949,0.990999997
1.008999944,0.995999992
0.989000022,1.006000042
1.003000021,1.019000053
1.008999944,1.006000042
0.995999992,1.004999995
0.995999992,1.004999995
1,1.001000047
1.001000047,1.001999974
1.001000047,1.01699996
1.001000047,0.999000013
0.995000005,0.992999971
1,1.001000047
1.00999999,1.016000032
0.994000018,0.99000001
